,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
0,RT @steve_hanke: #Muslim neighborhoods in #Delhi have been razed to the ground. Who’s to blame? The usual suspects: #Modi’s #Hindutva mobs…,Nevbahar,18468,188,"Nordrhein-Westfalen, Deutschland",False,0,689,2020-03-05 16:08:14
1,RT @bainjal: 53 people have died. Zero accountability from Shah. Zero outreach from Modi &amp; Shah.,Joy Paul Puthussery,26758,611,Thrissur,False,0,394,2020-03-05 16:08:13
2,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",Hitesh Singh Tomar,5526,39,,False,0,576,2020-03-05 16:08:12
3,"RT @Aakar__Patel: EU MEPs, US State Dept, US Congress, Warren, Bernie, House Foreign Affairs Committee, OIC, UK both Houses, USCIRF, UN Sec…",Shaista ⏳ ‏,153565,1507,,False,0,57,2020-03-05 16:08:12
4,RT @YESBANK: .@RanaKapoor_ on #DeMonetisation: Modi delivers a master stroke. Read more: https://t.co/grVduPrJrP https://t.co/3Xd3y956iR,SLOTH,2854,436,Aukaad ke bhar,False,0,154,2020-03-05 16:08:12
5,RT @bainjal: The suspension of seven congress MP’s from Parliament is just an extension of the Gujarat model which Modi followed as CM. Mod…,𝖒𝖝𝖆𝖉𝖎𝖑🇬🇧,4655,176,"England, United Kingdom",False,0,601,2020-03-05 16:08:11
6,"RT @CAChirag: Yes Bank - No withdrawals above Rs 50,000 &amp; in case of medical emergency, etc limit is 5 Lakhs till 3 April. RBI has supersed…",Bharat Modi,10784,206,भारत,False,0,14,2020-03-05 16:08:11
7,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",Vinay Mishra🇮🇳,99020,1422,India,False,0,576,2020-03-05 16:08:11
8,"RT @rightofcentre52: Modi govt should not only release but it should also make sure that NC and PDP form an alliance and win elections.
Mod…",Vishal Kadam,68433,643,,False,0,11,2020-03-05 16:08:10
9,RT @steve_hanke: #Muslim neighborhoods in #Delhi have been razed to the ground. Who’s to blame? The usual suspects: #Modi’s #Hindutva mobs…,Vet Dr Usama,9796,1085,Pakistan,False,0,689,2020-03-05 16:08:07
10,"RT @geetv79: Nirav Modi to Remain in Jail after UK Court Rejects His Bail Plea for The Fifth Time.
Chowkidar lets #ChotaModi loot &amp; scoot,…",Kameel Nakeeb,168,3,,False,0,26,2020-03-05 16:08:07
11,"RT @INCIndia: Modi ji you may think silence is golden, but when our country is facing such dire issues, your silence is criminal. https://t…",Aryan Srivastava,7504,208,भारत,False,0,1526,2020-03-05 16:08:06
12,"RT @ashoswai: Modi's ""Police remained deaf to cries for help, encouraged rioters and even participated"" - Belgian newspaper 'Het Nieuwsblad…",🇵🇰TRUE PAKISTANI🇵🇰,35496,3395,España,False,0,170,2020-03-05 16:08:06
13,@JhaSanjay I don't think so.Rahul will keep campaigning for Modi even in 2024. He is hardcore bjp supporter.,aaloo kachaloo,15638,120,India,False,0,0,2020-03-05 16:08:06
14,RT @PatelDrprashant: @drharshvardhan @ACCINDIA @MSJEGOI @PMOIndia @BJP4India @narendramodi @JPNadda @BJP4Delhi @AmitShah @TCGEHLOT MCI wake…,Abhishek Pancholi,424,10,,False,0,18,2020-03-05 16:08:06
15,RT @bainjal: 53 people have died. Zero accountability from Shah. Zero outreach from Modi &amp; Shah.,sameer shah,2506,118,New Delhi India,False,0,394,2020-03-05 16:08:05
16,"RT @RealHistoryPic: ""Modinomics is now becoming Modi-Momentum"". (2015) https://t.co/ScZnTBVKwd",#riseaboveall,30852,115,,False,0,32,2020-03-05 16:08:03
17,"RT @INCIndia: Modi ji you may think silence is golden, but when our country is facing such dire issues, your silence is criminal. https://t…",Hajra Ahmad Ansari,2115,637,,False,0,1526,2020-03-05 16:08:03
18,"RT @ASg1956: PM Modi's Silence On

1.#DelhiRiots 

2.#ViolenceAgainstStudents

3.#WomenSafety

4.#EconomicSlowdown 

5. #CoronaVirus
 
Itse…",NK Gupta,24519,260,,False,0,12,2020-03-05 16:08:03
19,RT @bainjal: 53 people have died. Zero accountability from Shah. Zero outreach from Modi &amp; Shah.,Guruji,299673,5802,Earth ,False,0,394,2020-03-05 16:08:01
20,"RT @KiranKS: 1) If you are pessimistic of PM @narendramodi's call for a $5 Trillion economy, relax. 

It is not ""will it"", it is ""when"". At…",vinod bisht,106572,447,,False,0,26,2020-03-05 16:08:01
21,RT @HAAQ786: RALLY against Modi &amp; BJP Government in London UK. Whole world is now against Modi &amp; BJP Government. they will never share this…,Fawad,11021,70,,False,0,52,2020-03-05 16:08:00
22,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",Deepanshu,564,10,Bharat,False,0,576,2020-03-05 16:08:00
23,"RT @IAMCouncil: Indian culture may be ancient, but its unity is rare and recent. A growing hostility to Muslims threatens to upend the worl…",No Na Ned,24921,273,,False,0,2,2020-03-05 16:07:59
24,The biggest cheer in the stadium came when Trump said the US and India were united in accepting the need to “defend ourselves from the threat of radical Islamic terrorism”. https://t.co/9aQiAEmU3b,CounterPunch,17418,67594,PDX,True,3,3,2020-03-05 16:07:59
